timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674828636230,87,/user_info_2,200,OK,HW_1 1-11,text,true,,483,250,2,2,http://162.55.220.72:5005/user_info_2,87,0,47
1674828636313,66,/object_info_3,200,OK,HW_1 1-10,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,65,0,32
1674828636317,71,/user_info_3,200,OK,HW_1 1-11,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,71,0,35
1674828636330,72,/get_method,200,OK,HW_1 1-12,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,72,0,36
1674828636379,69,/object_info_4,200,OK,HW_1 1-10,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,68,0,32
1674828636389,71,/object_info_1,200,OK,HW_1 1-11,text,true,,231,163,2,2,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,71,0,34
1674828636403,67,/user_info_2,200,OK,HW_1 1-12,text,true,,483,250,2,2,http://162.55.220.72:5005/user_info_2,67,0,31
1674828636461,69,/object_info_2,200,OK,HW_1 1-11,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,69,0,32
1674828636470,66,/user_info_3,200,OK,HW_1 1-12,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,66,0,32
1674828636526,69,/get_method,200,OK,HW_1 1-13,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,69,0,33
1674828636537,63,/object_info_1,200,OK,HW_1 1-12,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,63,0,30
1674828636531,74,/object_info_3,200,OK,HW_1 1-11,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,74,0,36
1674828636601,73,/object_info_2,200,OK,HW_1 1-12,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,73,0,33
1674828636605,68,/object_info_4,200,OK,HW_1 1-11,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,68,0,33
1674828636596,68,/user_info_2,200,OK,HW_1 1-13,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,68,0,33
1674828636700,68,/object_info_3,200,OK,HW_1 1-12,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,67,0,32
1674828636700,72,/user_info_3,200,OK,HW_1 1-13,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,71,0,33
1674828636730,70,/get_method,200,OK,HW_1 1-14,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,70,0,33
1674828636768,74,/object_info_4,200,OK,HW_1 1-12,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,74,0,34
1674828636772,70,/object_info_1,200,OK,HW_1 1-13,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,70,0,34
1674828636801,80,/user_info_2,200,OK,HW_1 1-14,text,true,,483,250,2,2,http://162.55.220.72:5005/user_info_2,79,0,33
1674828636843,84,/object_info_2,200,OK,HW_1 1-13,text,true,,468,164,2,2,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,84,0,38
1674828636881,81,/user_info_3,200,OK,HW_1 1-14,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,81,0,45
1674828636928,77,/object_info_3,200,OK,HW_1 1-13,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,77,0,37
1674828636929,78,/get_method,200,OK,HW_1 1-15,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,78,0,36
1674828636963,68,/object_info_1,200,OK,HW_1 1-14,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,68,0,32
1674828637006,77,/object_info_4,200,OK,HW_1 1-13,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,77,0,40
1674828637007,79,/user_info_2,200,OK,HW_1 1-15,text,true,,483,250,2,2,http://162.55.220.72:5005/user_info_2,79,0,40
1674828637031,70,/object_info_2,200,OK,HW_1 1-14,text,true,,468,164,2,2,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,70,0,34
1674828637128,68,/get_method,200,OK,HW_1 1-16,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,68,0,34
1674828637087,70,/user_info_3,200,OK,HW_1 1-15,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,69,0,32
1674828637102,70,/object_info_3,200,OK,HW_1 1-14,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,69,0,33
1674828637222,71,/user_info_2,200,OK,HW_1 1-16,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,71,0,32
1674828637222,72,/object_info_4,200,OK,HW_1 1-14,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,72,0,33
1674828637222,74,/object_info_1,200,OK,HW_1 1-15,text,true,,231,163,2,2,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,74,0,34
1674828637294,79,/user_info_3,200,OK,HW_1 1-16,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,79,0,33
1674828637296,77,/object_info_2,200,OK,HW_1 1-15,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,77,0,33
1674828637327,67,/get_method,200,OK,HW_1 1-17,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,67,0,32
1674828637373,68,/object_info_1,200,OK,HW_1 1-16,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,68,0,33
1674828637373,72,/object_info_3,200,OK,HW_1 1-15,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,72,0,35
1674828637394,68,/user_info_2,200,OK,HW_1 1-17,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,68,0,32
1674828637441,72,/object_info_2,200,OK,HW_1 1-16,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,72,0,34
1674828637445,70,/object_info_4,200,OK,HW_1 1-15,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,69,0,32
1674828637462,68,/user_info_3,200,OK,HW_1 1-17,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,68,0,32
1674828637514,71,/object_info_3,200,OK,HW_1 1-16,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,70,0,34
1674828637530,69,/object_info_1,200,OK,HW_1 1-17,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,69,0,34
1674828637528,74,/get_method,200,OK,HW_1 1-18,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,74,0,35
1674828637603,71,/user_info_2,200,OK,HW_1 1-18,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,71,0,33
1674828637600,72,/object_info_2,200,OK,HW_1 1-17,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,71,0,32
1674828637585,65,/object_info_4,200,OK,HW_1 1-16,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,65,0,31
1674828637727,66,/get_method,200,OK,HW_1 1-19,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,66,0,32
1674828637741,66,/user_info_3,200,OK,HW_1 1-18,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,66,0,32
1674828637741,72,/object_info_3,200,OK,HW_1 1-17,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,72,0,36
1674828637793,75,/user_info_2,200,OK,HW_1 1-19,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,75,0,40
1674828637808,64,/object_info_1,200,OK,HW_1 1-18,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,64,0,30
